Surname,ApproximateNumber,%Frequency,Rank,Percent,Cumulative_percent
ROHE,2487,0.001,18476,1.46425747503441e-05,0.7641374059216066
ROHN,2487,0.001,13422,1.46425747503441e-05,0.764152048496357
ROHRBACH,2487,0.001,11463,1.46425747503441e-05,0.7641666910711074
ROHRBAUGH,2487,0.001,11462,1.46425747503441e-05,0.7641813336458577
ROHRER,4974,0.002,7305,2.92851495006882e-05,0.7642106187953585
ROJAS,44766,0.018000000000000002,645,0.0002635663455061938,0.7644741851408646
ROJO,4974,0.002,5389,2.92851495006882e-05,0.7645034702903654
ROLAND,19896,0.008,1650,0.0001171405980027528,0.7646206108883681
ROLEN,2487,0.001,10432,1.46425747503441e-05,0.7646352534631184
ROLES,2487,0.001,18475,1.46425747503441e-05,0.7646498960378688
ROLF,2487,0.001,9291,1.46425747503441e-05,0.7646645386126192
ROLFE,4974,0.002,5085,2.92851495006882e-05,0.7646938237621199
ROLFES,2487,0.001,14777,1.46425747503441e-05,0.7647084663368703
ROLING,2487,0.001,13421,1.46425747503441e-05,0.7647231089116207
ROLL,4974,0.002,6019,2.92851495006882e-05,0.7647523940611214
ROLLAND,2487,0.001,10168,1.46425747503441e-05,0.7647670366358718
ROLLE,2487,0.001,9509,1.46425747503441e-05,0.7647816792106221
ROLLIN,2487,0.001,13661,1.46425747503441e-05,0.7647963217853725
ROLLING,2487,0.001,10991,1.46425747503441e-05,0.7648109643601229
ROLLINGS,2487,0.001,13660,1.46425747503441e-05,0.7648256069348732
ROLLINS,37305,0.015,798,0.00021963862125516152,0.7650452455561284
ROLLISON,2487,0.001,16024,1.46425747503441e-05,0.7650598881308788
ROLLO,2487,0.001,8537,1.46425747503441e-05,0.7650745307056291
ROLOFF,2487,0.001,17166,1.46425747503441e-05,0.7650891732803795
ROLON,4974,0.002,6156,2.92851495006882e-05,0.7651184584298802
ROLPH,2487,0.001,17165,1.46425747503441e-05,0.7651331010046306
ROLSTON,2487,0.001,13939,1.46425747503441e-05,0.765147743579381
ROMAIN,2487,0.001,12147,1.46425747503441e-05,0.7651623861541313
ROMAINE,2487,0.001,13938,1.46425747503441e-05,0.7651770287288817
ROMAN,57201,0.023,515,0.00033677921925791434,0.7655138079481396
ROMANO,19896,0.008,1579,0.0001171405980027528,0.7656309485461423
ROMANOWSKI,2487,0.001,13937,1.46425747503441e-05,0.7656455911208927
ROMANS,2487,0.001,7944,1.46425747503441e-05,0.7656602336956431
ROMER,2487,0.001,10574,1.46425747503441e-05,0.7656748762703934
ROMERO,111915,0.045,239,0.0006589158637654845,0.7663337921341589
ROMIG,2487,0.001,10711,1.46425747503441e-05,0.7663484347089092
ROMINE,4974,0.002,5219,2.92851495006882e-05,0.76637771985841
ROMMEL,2487,0.001,15685,1.46425747503441e-05,0.7663923624331603
ROMO,17409,0.006999999999999999,1926,0.0001024980232524087,0.7664948604564128
ROMRIELL,2487,0.001,15684,1.46425747503441e-05,0.7665095030311632
RONALD,2487,0.001,16750,1.46425747503441e-05,0.7665241456059135
RONAN,2487,0.001,11642,1.46425747503441e-05,0.7665387881806639
RONDEAU,4974,0.002,6155,2.92851495006882e-05,0.7665680733301646
RONDON,2487,0.001,10852,1.46425747503441e-05,0.766582715904915
RONE,2487,0.001,9290,1.46425747503441e-05,0.7665973584796654
RONK,2487,0.001,15368,1.46425747503441e-05,0.7666120010544157
RONNING,2487,0.001,17164,1.46425747503441e-05,0.7666266436291661
RONQUILLO,2487,0.001,15062,1.46425747503441e-05,0.7666412862039165
ROOD,4974,0.002,5388,2.92851495006882e-05,0.7666705713534172
ROOF,4974,0.002,6108,2.92851495006882e-05,0.7666998565029179
ROOK,2487,0.001,9289,1.46425747503441e-05,0.7667144990776683
ROOKER,4974,0.002,6839,2.92851495006882e-05,0.766743784227169
ROOKS,4974,0.002,5145,2.92851495006882e-05,0.7667730693766698
ROOM,2487,0.001,16382,1.46425747503441e-05,0.7667877119514201
ROOP,4974,0.002,6786,2.92851495006882e-05,0.7668169971009209
ROOS,2487,0.001,8251,1.46425747503441e-05,0.7668316396756713
ROOSA,2487,0.001,15367,1.46425747503441e-05,0.7668462822504216
ROOSE,2487,0.001,15061,1.46425747503441e-05,0.766860924825172
ROOSEVELT,2487,0.001,15060,1.46425747503441e-05,0.7668755673999224
ROOT,17409,0.006999999999999999,1834,0.0001024980232524087,0.7669780654231748
ROPER,19896,0.008,1608,0.0001171405980027528,0.7670952060211775
ROPP,2487,0.001,10990,1.46425747503441e-05,0.7671098485959279
ROQUEMORE,2487,0.001,16023,1.46425747503441e-05,0.7671244911706783
RORIE,2487,0.001,9911,1.46425747503441e-05,0.7671391337454286
ROS,2487,0.001,14776,1.46425747503441e-05,0.767153776320179
ROSA,34818,0.013999999999999999,865,0.0002049960465048174,0.7673587723666838
ROSADO,29844,0.012,1044,0.00017571089700412921,0.7675344832636879
ROSALES,32331,0.013000000000000001,914,0.0001903534717544733,0.7677248367354423
ROSALEZ,2487,0.001,15683,1.46425747503441e-05,0.7677394793101927
ROSAMOND,2487,0.001,12146,1.46425747503441e-05,0.7677541218849431
ROSARIO,37305,0.015,820,0.00021963862125516152,0.7679737605061983
ROSAS,19896,0.008,1526,0.0001171405980027528,0.768090901104201
ROSATI,2487,0.001,10027,1.46425747503441e-05,0.7681055436789513
ROSATO,2487,0.001,13420,1.46425747503441e-05,0.7681201862537017
ROSBOROUGH,2487,0.001,17163,1.46425747503441e-05,0.7681348288284521
ROSCOE,4974,0.002,6385,2.92851495006882e-05,0.7681641139779528
ROSE,146733,0.059000000000000004,157,0.0008639119102703019,0.7690280258882232
ROSEBERRY,4974,0.002,6018,2.92851495006882e-05,0.7690573110377239
ROSEBORO,2487,0.001,9508,1.46425747503441e-05,0.7690719536124743
ROSELLI,2487,0.001,10308,1.46425747503441e-05,0.7690865961872246
ROSEMAN,2487,0.001,8107,1.46425747503441e-05,0.769101238761975
ROSEMOND,2487,0.001,8700,1.46425747503441e-05,0.7691158813367254
ROSEN,19896,0.008,1634,0.0001171405980027528,0.7692330219347281
ROSENBALM,2487,0.001,15059,1.46425747503441e-05,0.7692476645094785
ROSENBERG,19896,0.008,1489,0.0001171405980027528,0.7693648051074812
ROSENBERGER,4974,0.002,5603,2.92851495006882e-05,0.7693940902569819
ROSENBERRY,2487,0.001,9639,1.46425747503441e-05,0.7694087328317323
ROSENBLATT,2487,0.001,8536,1.46425747503441e-05,0.7694233754064826
ROSENBLOOM,2487,0.001,12738,1.46425747503441e-05,0.769438017981233
ROSENBLUM,4974,0.002,6631,2.92851495006882e-05,0.7694673031307337
ROSENDAHL,2487,0.001,13936,1.46425747503441e-05,0.7694819457054841
ROSENFELD,4974,0.002,5651,2.92851495006882e-05,0.7695112308549849
ROSENOW,2487,0.001,14493,1.46425747503441e-05,0.7695258734297352
ROSENSTEIN,2487,0.001,16022,1.46425747503441e-05,0.7695405160044856
ROSENZWEIG,2487,0.001,18474,1.46425747503441e-05,0.769555158579236
ROSER,2487,0.001,13935,1.46425747503441e-05,0.7695698011539863
ROSIER,2487,0.001,11965,1.46425747503441e-05,0.7695844437287367
ROSIN,2487,0.001,13419,1.46425747503441e-05,0.7695990863034871
ROSINSKI,2487,0.001,14492,1.46425747503441e-05,0.7696137288782374
ROSNER,2487,0.001,10167,1.46425747503441e-05,0.7696283714529878
ROSOL,2487,0.001,18019,1.46425747503441e-05,0.7696430140277382
ROSS,238752,0.096,80,0.0014056871760330337,0.7710487012037712
ROSSETTI,2487,0.001,14198,1.46425747503441e-05,0.7710633437785216
ROSSI,19896,0.008,1594,0.0001171405980027528,0.7711804843765243
ROSSIGNOL,2487,0.001,12527,1.46425747503441e-05,0.7711951269512747
ROSSITER,2487,0.001,8699,1.46425747503441e-05,0.771209769526025
ROSSMAN,4974,0.002,6893,2.92851495006882e-05,0.7712390546755258
ROSSO,2487,0.001,15058,1.46425747503441e-05,0.7712536972502761
ROSSON,2487,0.001,10431,1.46425747503441e-05,0.7712683398250265
ROST,2487,0.001,8437,1.46425747503441e-05,0.7712829823997769
ROTELLA,2487,0.001,15682,1.46425747503441e-05,0.7712976249745273
ROTEN,2487,0.001,12962,1.46425747503441e-05,0.7713122675492776
ROTH,44766,0.018000000000000002,656,0.0002635663455061938,0.7715758338947838
ROTHE,2487,0.001,11160,1.46425747503441e-05,0.7715904764695342
ROTHENBERG,2487,0.001,16021,1.46425747503441e-05,0.7716051190442845
ROTHER,2487,0.001,11461,1.46425747503441e-05,0.7716197616190349
ROTHERMEL,2487,0.001,12340,1.46425747503441e-05,0.7716344041937853
ROTHMAN,4974,0.002,5650,2.92851495006882e-05,0.771663689343286
ROTHROCK,2487,0.001,9777,1.46425747503441e-05,0.7716783319180364
ROTHSCHILD,2487,0.001,11964,1.46425747503441e-05,0.7716929744927867
ROTHSTEIN,4974,0.002,7248,2.92851495006882e-05,0.7717222596422875
ROTHWELL,2487,0.001,9288,1.46425747503441e-05,0.7717369022170378
ROTTER,2487,0.001,18473,1.46425747503441e-05,0.7717515447917882
ROTTMAN,2487,0.001,17584,1.46425747503441e-05,0.7717661873665386
ROTZ,2487,0.001,8617,1.46425747503441e-05,0.7717808299412889
ROUDEBUSH,2487,0.001,13171,1.46425747503441e-05,0.7717954725160393
