Surname,ApproximateNumber,%Frequency,Rank,Percent,Cumulative_percent
CARINI,2487,0.001,16598,1.46425747503441e-05,0.13219316484610402
CARINO,2487,0.001,11580,1.46425747503441e-05,0.13220780742085436
CARLBERG,2487,0.001,14962,1.46425747503441e-05,0.1322224499956047
CARLE,2487,0.001,11402,1.46425747503441e-05,0.13223709257035504
CARLETON,4974,0.002,7494,2.92851495006882e-05,0.13226637771985572
CARLEY,2487,0.001,7692,1.46425747503441e-05,0.13228102029460606
CARLILE,4974,0.002,7350,2.92851495006882e-05,0.13231030544410674
CARLINO,2487,0.001,15245,1.46425747503441e-05,0.13232494801885708
CARLISLE,22383,0.009000000000000001,1399,0.0001317831727530969,0.13245673119161017
CARLO,2487,0.001,8763,1.46425747503441e-05,0.1324713737663605
CARLOCK,2487,0.001,9592,1.46425747503441e-05,0.13248601634111085
CARLS,2487,0.001,14103,1.46425747503441e-05,0.13250065891586119
CARLSEN,2487,0.001,8317,1.46425747503441e-05,0.13251530149061153
CARLSON,104454,0.042,253,0.0006149881395144522,0.13313028963012596
CARLTON,24870,0.01,1292,0.000146425747503441,0.13327671537762942
CARLUCCI,2487,0.001,10120,1.46425747503441e-05,0.13329135795237976
CARLYLE,4974,0.002,6981,2.92851495006882e-05,0.13332064310188044
CARMEAN,2487,0.001,13094,1.46425747503441e-05,0.13333528567663078
CARMEN,2487,0.001,10119,1.46425747503441e-05,0.13334992825138112
CARMICHAEL,22383,0.009000000000000001,1414,0.0001317831727530969,0.1334817114241342
CARMODY,4974,0.002,6276,2.92851495006882e-05,0.13351099657363488
CARMON,2487,0.001,10118,1.46425747503441e-05,0.13352563914838522
CARMOUCHE,2487,0.001,14385,1.46425747503441e-05,0.13354028172313556
CARN,2487,0.001,18776,1.46425747503441e-05,0.1335549242978859
CARNEAL,2487,0.001,16229,1.46425747503441e-05,0.13356956687263624
CARNEGIE,2487,0.001,17010,1.46425747503441e-05,0.13358420944738658
CARNELL,2487,0.001,10117,1.46425747503441e-05,0.13359885202213692
CARNER,2487,0.001,8074,1.46425747503441e-05,0.13361349459688726
CARNEVALE,2487,0.001,14673,1.46425747503441e-05,0.1336281371716376
CARNEY,32331,0.013000000000000001,956,0.0001903534717544733,0.13381849064339207
CAROL,2487,0.001,17414,1.46425747503441e-05,0.1338331332181424
CAROLAN,2487,0.001,17009,1.46425747503441e-05,0.13384777579289275
CAROLINA,2487,0.001,15244,1.46425747503441e-05,0.1338624183676431
CAROLL,2487,0.001,14961,1.46425747503441e-05,0.13387706094239343
CAROLLO,2487,0.001,11906,1.46425747503441e-05,0.13389170351714377
CARON,17409,0.006999999999999999,1809,0.0001024980232524087,0.13399420154039618
CARONE,2487,0.001,12668,1.46425747503441e-05,0.13400884411514652
CAROTHERS,4974,0.002,5315,2.92851495006882e-05,0.1340381292646472
CARPENTER,131811,0.053,189,0.0007760564617682374,0.13481418572641543
CARPENTIER,2487,0.001,10524,1.46425747503441e-05,0.13482882830116577
CARPINO,2487,0.001,14102,1.46425747503441e-05,0.1348434708759161
CARPIO,2487,0.001,9359,1.46425747503441e-05,0.13485811345066645
CARR,126837,0.051,205,0.0007467713122675491,0.135604884762934
CARRARA,2487,0.001,17841,1.46425747503441e-05,0.13561952733768434
CARRASQUILLO,4974,0.002,5314,2.92851495006882e-05,0.13564881248718502
CARRAWAY,4974,0.002,5589,2.92851495006882e-05,0.1356780976366857
CARREIRO,2487,0.001,10253,1.46425747503441e-05,0.13569274021143604
CARRELL,4974,0.002,5010,2.92851495006882e-05,0.13572202536093672
CARRENO,2487,0.001,8762,1.46425747503441e-05,0.13573666793568706
CARREON,4974,0.002,5414,2.92851495006882e-05,0.13576595308518774
CARRERAS,2487,0.001,10116,1.46425747503441e-05,0.13578059565993808
CARRERO,4974,0.002,6275,2.92851495006882e-05,0.13580988080943876
CARRICK,2487,0.001,11579,1.46425747503441e-05,0.1358245233841891
CARRIER,14922,0.006,1952,8.785544850206461e-05,0.13591237883269117
CARRIERE,2487,0.001,13330,1.46425747503441e-05,0.1359270214074415
CARRIGAN,4974,0.002,5205,2.92851495006882e-05,0.13595630655694219
CARRILLO,42279,0.017,675,0.00024892377075584973,0.13620523032769805
CARRIZALES,2487,0.001,9463,1.46425747503441e-05,0.13621987290244839
CARROL,4974,0.002,6190,2.92851495006882e-05,0.13624915805194907
CARROLL,136785,0.055,176,0.0008053416112689256,0.137054499663218
CARRON,2487,0.001,10380,1.46425747503441e-05,0.13706914223796834
CARROW,2487,0.001,15243,1.46425747503441e-05,0.13708378481271868
CARROZZA,2487,0.001,17840,1.46425747503441e-05,0.13709842738746902
CARRUTH,4974,0.002,6980,2.92851495006882e-05,0.1371277125369697
CARRUTHERS,4974,0.002,6237,2.92851495006882e-05,0.13715699768647038
CARSON,59688,0.024,472,0.00035142179400825843,0.13750841948047865
CARSTARPHEN,2487,0.001,14384,1.46425747503441e-05,0.137523062055229
CARSTENS,2487,0.001,11578,1.46425747503441e-05,0.13753770462997933
CARSTENSEN,2487,0.001,17413,1.46425747503441e-05,0.13755234720472967
CARTAGENA,4974,0.002,6610,2.92851495006882e-05,0.13758163235423035
CARTE,2487,0.001,13563,1.46425747503441e-05,0.1375962749289807
CARTEE,2487,0.001,13329,1.46425747503441e-05,0.13761091750373103
CARTER,402894,0.162,40,0.0023720971095557443,0.13998301461328677
CARTIER,2487,0.001,9992,1.46425747503441e-05,0.1399976571880371
CARTWRIGHT,24870,0.01,1245,0.000146425747503441,0.14014408293554056
CARTY,4974,0.002,5035,2.92851495006882e-05,0.14017336808504124
CARUTHERS,4974,0.002,5236,2.92851495006882e-05,0.14020265323454192
CARVAJAL,4974,0.002,7290,2.92851495006882e-05,0.1402319383840426
CARVER,37305,0.015,818,0.00021963862125516152,0.14045157700529776
CARWILE,2487,0.001,10797,1.46425747503441e-05,0.1404662195800481
CASADOS,2487,0.001,15242,1.46425747503441e-05,0.14048086215479844
CASADY,2487,0.001,11577,1.46425747503441e-05,0.14049550472954878
CASALE,2487,0.001,13328,1.46425747503441e-05,0.14051014730429912
CASARES,4974,0.002,6328,2.92851495006882e-05,0.1405394324537998
CASAREZ,4974,0.002,5167,2.92851495006882e-05,0.14056871760330047
CASAVANT,2487,0.001,9991,1.46425747503441e-05,0.14058336017805081
CASCIO,2487,0.001,9255,1.46425747503441e-05,0.14059800275280115
CASE,37305,0.015,813,0.00021963862125516152,0.1408176413740563
CASELLA,2487,0.001,12667,1.46425747503441e-05,0.14083228394880665
CASEY,59688,0.024,479,0.00035142179400825843,0.1411837057428149
CASH,32331,0.013000000000000001,947,0.0001903534717544733,0.1413740592145694
CASHIN,2487,0.001,17412,1.46425747503441e-05,0.14138870178931973
CASHION,2487,0.001,10650,1.46425747503441e-05,0.14140334436407007
CASHMAN,4974,0.002,5348,2.92851495006882e-05,0.14143262951357075
CASHWELL,2487,0.001,17839,1.46425747503441e-05,0.14144727208832109
CASIANO,4974,0.002,6979,2.92851495006882e-05,0.14147655723782177
CASIAS,2487,0.001,8761,1.46425747503441e-05,0.1414911998125721
CASLER,2487,0.001,15241,1.46425747503441e-05,0.14150584238732244
CASNER,2487,0.001,15897,1.46425747503441e-05,0.14152048496207278
CASPERSON,2487,0.001,15240,1.46425747503441e-05,0.14153512753682312
CASSADY,4974,0.002,6189,2.92851495006882e-05,0.1415644126863238
CASSANO,2487,0.001,15896,1.46425747503441e-05,0.14157905526107414
CASSEL,2487,0.001,9727,1.46425747503441e-05,0.14159369783582448
CASSELLA,2487,0.001,14960,1.46425747503441e-05,0.14160834041057482
CASSELMAN,2487,0.001,18300,1.46425747503441e-05,0.14162298298532516
CASSETTE,2487,0.001,17411,1.46425747503441e-05,0.1416376255600755
CASSIDY,19896,0.008,1505,0.0001171405980027528,0.14175476615807825
CASSITY,2487,0.001,8665,1.46425747503441e-05,0.1417694087328286
CASSON,2487,0.001,11905,1.46425747503441e-05,0.14178405130757893
CASTAGNA,2487,0.001,17838,1.46425747503441e-05,0.14179869388232927
CASTALDO,2487,0.001,14101,1.46425747503441e-05,0.1418133364570796
CASTANEDA,32331,0.013000000000000001,923,0.0001903534717544733,0.14200368992883408
CASTANO,2487,0.001,9358,1.46425747503441e-05,0.14201833250358442
CASTANON,2487,0.001,8213,1.46425747503441e-05,0.14203297507833476
CASTELLI,2487,0.001,10115,1.46425747503441e-05,0.1420476176530851
CASTELLO,2487,0.001,9859,1.46425747503441e-05,0.14206226022783544
CASTELLON,2487,0.001,10114,1.46425747503441e-05,0.14207690280258578
CASTER,2487,0.001,10379,1.46425747503441e-05,0.14209154537733612
CASTIGLIA,2487,0.001,17410,1.46425747503441e-05,0.14210618795208646
CASTIGLIONE,2487,0.001,13562,1.46425747503441e-05,0.1421208305268368
CASTILE,2487,0.001,14383,1.46425747503441e-05,0.14213547310158714
CASTILLE,2487,0.001,12254,1.46425747503441e-05,0.14215011567633748
CASTILLEJA,2487,0.001,13327,1.46425747503441e-05,0.14216475825108782
CASTILLO,126837,0.051,207,0.0007467713122675491,0.14291152956335537
CASTILLON,2487,0.001,14382,1.46425747503441e-05,0.1429261721381057
CASTLE,22383,0.009000000000000001,1430,0.0001317831727530969,0.1430579553108588
CASTLEMAN,2487,0.001,7770,1.46425747503441e-05,0.14307259788560914
CASTO,4974,0.002,5834,2.92851495006882e-05,0.14310188303510982
CASTON,2487,0.001,7852,1.46425747503441e-05,0.14311652560986016
CASTONGUAY,2487,0.001,14959,1.46425747503441e-05,0.1431311681846105
CASTOR,4974,0.002,5833,2.92851495006882e-05,0.14316045333411118
CASTORENA,2487,0.001,9858,1.46425747503441e-05,0.14317509590886152
CASTREJON,2487,0.001,11261,1.46425747503441e-05,0.14318973848361186
CASTRO,96993,0.039,282,0.0005710604152634199,0.14376079889887527
CATALAN,2487,0.001,8405,1.46425747503441e-05,0.14377544147362561
CATALDO,2487,0.001,10523,1.46425747503441e-05,0.14379008404837595
CATANIA,2487,0.001,16597,1.46425747503441e-05,0.1438047266231263
CATANZARO,2487,0.001,14958,1.46425747503441e-05,0.14381936919787663
CATCHINGS,2487,0.001,9591,1.46425747503441e-05,0.14383401177262697
CATER,2487,0.001,7851,1.46425747503441e-05,0.1438486543473773
CATES,22383,0.009000000000000001,1439,0.0001317831727530969,0.1439804375201304
CATHCART,4974,0.002,6236,2.92851495006882e-05,0.14400972266963108
CATLIN,2487,0.001,7995,1.46425747503441e-05,0.14402436524438142
CATOE,2487,0.001,14381,1.46425747503441e-05,0.14403900781913176
CATON,4974,0.002,5631,2.92851495006882e-05,0.14406829296863244
CATT,2487,0.001,11731,1.46425747503441e-05,0.14408293554338278
CAUDELL,2487,0.001,8849,1.46425747503441e-05,0.14409757811813312
CAUDILL,19896,0.008,1496,0.0001171405980027528,0.14421471871613586
CAUDILLO,2487,0.001,11730,1.46425747503441e-05,0.1442293612908862
CAUFIELD,2487,0.001,12461,1.46425747503441e-05,0.14424400386563654
CAULDER,2487,0.001,15895,1.46425747503441e-05,0.14425864644038688
CAULEY,2487,0.001,8848,1.46425747503441e-05,0.14427328901513722
CAULFIELD,2487,0.001,8316,1.46425747503441e-05,0.14428793158988756
CAULKINS,2487,0.001,18775,1.46425747503441e-05,0.1443025741646379
CAUSBY,2487,0.001,15894,1.46425747503441e-05,0.14431721673938824
CAUTHEN,4974,0.002,7424,2.92851495006882e-05,0.14434650188888892
CAVALIER,2487,0.001,12876,1.46425747503441e-05,0.14436114446363926
CAVALLARO,2487,0.001,12253,1.46425747503441e-05,0.1443757870383896
CAVALLO,2487,0.001,10113,1.46425747503441e-05,0.14439042961313994
CAVANAGH,2487,0.001,11904,1.46425747503441e-05,0.14440507218789028
CAVENDER,4974,0.002,7349,2.92851495006882e-05,0.14443435733739096
CAVER,2487,0.001,10649,1.46425747503441e-05,0.1444489999121413
CAVERLY,2487,0.001,18774,1.46425747503441e-05,0.14446364248689164
CAVES,2487,0.001,18773,1.46425747503441e-05,0.14447828506164198
CAVIN,2487,0.001,9462,1.46425747503441e-05,0.14449292763639232
CAVINESS,2487,0.001,7850,1.46425747503441e-05,0.14450757021114266
CAVINS,2487,0.001,17837,1.46425747503441e-05,0.144522212785893
CAVITT,2487,0.001,17836,1.46425747503441e-05,0.14453685536064334
CAWLEY,4974,0.002,7289,2.92851495006882e-05,0.14456614051014402
CAWTHON,2487,0.001,8760,1.46425747503441e-05,0.14458078308489436
CAYER,2487,0.001,17008,1.46425747503441e-05,0.1445954256596447
CAYLOR,2487,0.001,8759,1.46425747503441e-05,0.14461006823439504
CAYTON,2487,0.001,14100,1.46425747503441e-05,0.14462471080914538
CAYWOOD,2487,0.001,12875,1.46425747503441e-05,0.14463935338389572
CEARLEY,2487,0.001,16596,1.46425747503441e-05,0.14465399595864606
CEASAR,2487,0.001,8212,1.46425747503441e-05,0.1446686385333964
CEASER,2487,0.001,15559,1.46425747503441e-05,0.14468328110814674
CEBALLOS,4974,0.002,5375,2.92851495006882e-05,0.14471256625764742
CECERE,2487,0.001,14380,1.46425747503441e-05,0.14472720883239776
CEDENO,4974,0.002,6045,2.92851495006882e-05,0.14475649398189844
CEDILLO,4974,0.002,6274,2.92851495006882e-05,0.14478577913139912
CELAYA,2487,0.001,10648,1.46425747503441e-05,0.14480042170614946
CELENTANO,2487,0.001,17007,1.46425747503441e-05,0.1448150642808998
CELESTIN,2487,0.001,12086,1.46425747503441e-05,0.14482970685565014
CELESTINE,2487,0.001,8404,1.46425747503441e-05,0.14484434943040048
CELIS,2487,0.001,10796,1.46425747503441e-05,0.14485899200515082
CENDEJAS,2487,0.001,17409,1.46425747503441e-05,0.14487363457990116
CENICEROS,2487,0.001,12085,1.46425747503441e-05,0.1448882771546515
CENTER,2487,0.001,7769,1.46425747503441e-05,0.14490291972940184
CENTERS,2487,0.001,11903,1.46425747503441e-05,0.14491756230415218
CEPEDA,4974,0.002,5034,2.92851495006882e-05,0.14494684745365286
CEPHAS,2487,0.001,12874,1.46425747503441e-05,0.1449614900284032
CERNA,2487,0.001,10252,1.46425747503441e-05,0.14497613260315353
CERNY,2487,0.001,12084,1.46425747503441e-05,0.14499077517790387
CERON,2487,0.001,15239,1.46425747503441e-05,0.14500541775265421
CERRATO,2487,0.001,14379,1.46425747503441e-05,0.14502006032740455
CERRONE,2487,0.001,18772,1.46425747503441e-05,0.1450347029021549
CERVANTES,37305,0.015,804,0.00021963862125516152,0.14525434152341005
CERVANTEZ,4974,0.002,6712,2.92851495006882e-05,0.14528362667291073
CESAR,2487,0.001,12460,1.46425747503441e-05,0.14529826924766107
CESPEDES,2487,0.001,14099,1.46425747503441e-05,0.1453129118224114
CESSNA,2487,0.001,17006,1.46425747503441e-05,0.14532755439716175
CEVALLOS,2487,0.001,17835,1.46425747503441e-05,0.14534219697191209
CHA,4974,0.002,5281,2.92851495006882e-05,0.14537148212141277
CHABOT,2487,0.001,7849,1.46425747503441e-05,0.1453861246961631
CHACE,2487,0.001,14957,1.46425747503441e-05,0.14540076727091344
CHACKO,2487,0.001,17834,1.46425747503441e-05,0.14541540984566378
CHACON,17409,0.006999999999999999,1911,0.0001024980232524087,0.1455179078689162
CHADBOURNE,2487,0.001,14098,1.46425747503441e-05,0.14553255044366653
CHADWELL,2487,0.001,8211,1.46425747503441e-05,0.14554719301841687
CHAFFEE,4974,0.002,6928,2.92851495006882e-05,0.14557647816791755
CHAFFINS,2487,0.001,10795,1.46425747503441e-05,0.1455911207426679
CHAFIN,4974,0.002,5506,2.92851495006882e-05,0.14562040589216857
CHAGNON,2487,0.001,11902,1.46425747503441e-05,0.1456350484669189
CHAGOYA,2487,0.001,18299,1.46425747503441e-05,0.14564969104166925
CHAI,2487,0.001,16228,1.46425747503441e-05,0.1456643336164196
CHAIDEZ,2487,0.001,11260,1.46425747503441e-05,0.14567897619116993
CHAIRES,2487,0.001,13836,1.46425747503441e-05,0.14569361876592027
CHAIREZ,2487,0.001,15238,1.46425747503441e-05,0.1457082613406706
CHAISSON,4974,0.002,5455,2.92851495006882e-05,0.1457375464901713
CHALFANT,2487,0.001,9726,1.46425747503441e-05,0.14575218906492163
CHALK,2487,0.001,12083,1.46425747503441e-05,0.14576683163967197
CHALKER,2487,0.001,12873,1.46425747503441e-05,0.1457814742144223
CHAMBER,2487,0.001,14956,1.46425747503441e-05,0.14579611678917265
CHAMBERLAIN,27357,0.011000000000000001,1098,0.0001610683222537851,0.14595718511142644
CHAMBERLAND,2487,0.001,10941,1.46425747503441e-05,0.14597182768617678
CHAMBERS,92019,0.037000000000000005,290,0.0005417752657627317,0.14651360295193952
CHAMBLEE,4974,0.002,6609,2.92851495006882e-05,0.1465428881014402
CHAMBLESS,4974,0.002,7166,2.92851495006882e-05,0.14657217325094088
CHAMLEE,2487,0.001,18298,1.46425747503441e-05,0.14658681582569122
CHAMNESS,2487,0.001,7994,1.46425747503441e-05,0.14660145840044156
CHAMORRO,2487,0.001,17005,1.46425747503441e-05,0.1466161009751919
CHAMP,2487,0.001,12459,1.46425747503441e-05,0.14663074354994224
CHAMPAGNE,14922,0.006,1988,8.785544850206461e-05,0.1467185989984443
CHAMPINE,2487,0.001,18297,1.46425747503441e-05,0.14673324157319464
CHAMPION,17409,0.006999999999999999,1899,0.0001024980232524087,0.14683573959644705
CHAMPLIN,4974,0.002,6273,2.92851495006882e-05,0.14686502474594773
CHAN,39792,0.016,764,0.0002342811960055056,0.14709930594195322
CHANCELLOR,4974,0.002,5630,2.92851495006882e-05,0.1471285910914539
CHANCEY,4974,0.002,6880,2.92851495006882e-05,0.14715787624095458
CHANCY,2487,0.001,18771,1.46425747503441e-05,0.14717251881570492
CHANDLER,84558,0.034,322,0.0004978475415116995,0.14767036635721661
CHANEY,34818,0.013999999999999999,887,0.0002049960465048174,0.14787536240372143
CHANG,42279,0.017,687,0.00024892377075584973,0.1481242861744773
CHANNEL,2487,0.001,14378,1.46425747503441e-05,0.14813892874922763
CHANNELL,2487,0.001,14377,1.46425747503441e-05,0.14815357132397797
CHAO,4974,0.002,5755,2.92851495006882e-05,0.14818285647347865
CHAPARRO,2487,0.001,9357,1.46425747503441e-05,0.148197499048229
CHAPDELAINE,2487,0.001,17408,1.46425747503441e-05,0.14821214162297933
CHAPEL,2487,0.001,14672,1.46425747503441e-05,0.14822678419772967
CHAPELL,2487,0.001,18770,1.46425747503441e-05,0.14824142677248
CHAPLIN,4974,0.002,5009,2.92851495006882e-05,0.14827071192198069
CHAPMAN,124350,0.05,209,0.000732128737517205,0.1490028406594979
CHAPPEL,2487,0.001,10794,1.46425747503441e-05,0.14901748323424824
CHAPPELL,24870,0.01,1233,0.000146425747503441,0.1491639089817517
CHAPPELLE,2487,0.001,15237,1.46425747503441e-05,0.14917855155650203
CHAPPLE,2487,0.001,9356,1.46425747503441e-05,0.14919319413125237
CHAPUT,2487,0.001,10251,1.46425747503441e-05,0.1492078367060027
CHARBONEAU,2487,0.001,16227,1.46425747503441e-05,0.14922247928075305
CHARBONNEAU,2487,0.001,8588,1.46425747503441e-05,0.1492371218555034
CHAREST,2487,0.001,9355,1.46425747503441e-05,0.14925176443025373
CHARETTE,4974,0.002,6188,2.92851495006882e-05,0.1492810495797544
CHARITY,2487,0.001,12252,1.46425747503441e-05,0.14929569215450475
CHARLAND,2487,0.001,9857,1.46425747503441e-05,0.1493103347292551
CHARLEBOIS,2487,0.001,18296,1.46425747503441e-05,0.14932497730400543
CHARLES,54714,0.022000000000000002,537,0.0003221366445075702,0.149647113948513
CHARLESTON,2487,0.001,12666,1.46425747503441e-05,0.14966175652326333
CHARLESWORTH,2487,0.001,18295,1.46425747503441e-05,0.14967639909801367
CHARLEY,4974,0.002,7423,2.92851495006882e-05,0.14970568424751435
CHARLIE,2487,0.001,10378,1.46425747503441e-05,0.1497203268222647
CHARNEY,2487,0.001,12665,1.46425747503441e-05,0.14973496939701503
CHARON,2487,0.001,14955,1.46425747503441e-05,0.14974961197176537
CHARPENTIER,2487,0.001,11099,1.46425747503441e-05,0.1497642545465157
CHARRON,4974,0.002,5454,2.92851495006882e-05,0.1497935396960164
CHARTIER,4974,0.002,6927,2.92851495006882e-05,0.14982282484551707
CHARTRAND,2487,0.001,13561,1.46425747503441e-05,0.1498374674202674
CHASE,57201,0.023,508,0.00033677921925791434,0.15017424663952533
CHASON,2487,0.001,17004,1.46425747503441e-05,0.15018888921427567
CHASSE,4974,0.002,5629,2.92851495006882e-05,0.15021817436377635
CHASTEEN,4974,0.002,7348,2.92851495006882e-05,0.15024745951327703
CHATFIELD,2487,0.001,10377,1.46425747503441e-05,0.15026210208802737
CHATHAM,2487,0.001,7548,1.46425747503441e-05,0.1502767446627777
CHATMAN,17409,0.006999999999999999,1671,0.0001024980232524087,0.15037924268603012
CHATMON,2487,0.001,13835,1.46425747503441e-05,0.15039388526078046
CHATTERTON,2487,0.001,15236,1.46425747503441e-05,0.1504085278355308
CHAUDHRY,2487,0.001,18769,1.46425747503441e-05,0.15042317041028114
CHAUSSE,2487,0.001,18768,1.46425747503441e-05,0.15043781298503148
CHAUVIN,2487,0.001,7547,1.46425747503441e-05,0.15045245555978182
CHAVERS,2487,0.001,9856,1.46425747503441e-05,0.15046709813453216
CHAVEZ,129324,0.052000000000000005,194,0.0007614138870178932,0.15122851202155005
CHAVIRA,2487,0.001,9590,1.46425747503441e-05,0.1512431545963004
CHEA,2487,0.001,12664,1.46425747503441e-05,0.15125779717105073
CHEATWOOD,2487,0.001,13093,1.46425747503441e-05,0.15127243974580107
CHECK,2487,0.001,17833,1.46425747503441e-05,0.1512870823205514
CHEE,4974,0.002,6660,2.92851495006882e-05,0.1513163674700521
CHEEKS,4974,0.002,6093,2.92851495006882e-05,0.15134565261955277
CHEESEMAN,2487,0.001,12251,1.46425747503441e-05,0.1513602951943031
CHEESMAN,2487,0.001,12663,1.46425747503441e-05,0.15137493776905345
CHEEVER,2487,0.001,10647,1.46425747503441e-05,0.1513895803438038
CHEN,39792,0.016,720,0.0002342811960055056,0.15162386153980928
CHENARD,2487,0.001,18294,1.46425747503441e-05,0.15163850411455962
CHENAULT,4974,0.002,5832,2.92851495006882e-05,0.1516677892640603
CHENIER,2487,0.001,15893,1.46425747503441e-05,0.15168243183881064
CHENOWETH,4974,0.002,6272,2.92851495006882e-05,0.15171171698831132
CHERRY,37305,0.015,780,0.00021963862125516152,0.15193135560956647
CHERY,2487,0.001,14954,1.46425747503441e-05,0.1519459981843168
CHESHIRE,2487,0.001,12872,1.46425747503441e-05,0.15196064075906715
CHESLEY,2487,0.001,10112,1.46425747503441e-05,0.1519752833338175
CHESNEY,2487,0.001,10376,1.46425747503441e-05,0.15198992590856783
CHESNUT,2487,0.001,11576,1.46425747503441e-05,0.15200456848331817
CHESS,2487,0.001,12250,1.46425747503441e-05,0.1520192110580685
CHESSON,2487,0.001,8847,1.46425747503441e-05,0.15203385363281885
CHEVALIER,4974,0.002,5754,2.92851495006882e-05,0.15206313878231953
CHEVEZ,2487,0.001,13834,1.46425747503441e-05,0.15207778135706987
CHEWNING,2487,0.001,9589,1.46425747503441e-05,0.1520924239318202
CHI,2487,0.001,7768,1.46425747503441e-05,0.15210706650657055
CHIANG,2487,0.001,8499,1.46425747503441e-05,0.1521217090813209
CHIARAMONTE,2487,0.001,16226,1.46425747503441e-05,0.15213635165607123
CHIASSON,2487,0.001,11401,1.46425747503441e-05,0.15215099423082157
CHICHESTER,2487,0.001,14953,1.46425747503441e-05,0.1521656368055719
CHICK,4974,0.002,5628,2.92851495006882e-05,0.1521949219550726
CHICO,2487,0.001,10793,1.46425747503441e-05,0.15220956452982293
CHICOINE,2487,0.001,15892,1.46425747503441e-05,0.15222420710457327
CHIDESTER,2487,0.001,8846,1.46425747503441e-05,0.1522388496793236
CHIEN,2487,0.001,17832,1.46425747503441e-05,0.15225349225407395
CHIESA,2487,0.001,17003,1.46425747503441e-05,0.1522681348288243
CHILDERS,27357,0.011000000000000001,1066,0.0001610683222537851,0.15242920315107808
CHILDRESS,27357,0.011000000000000001,1065,0.0001610683222537851,0.15259027147333187
CHILDS,29844,0.012,1033,0.00017571089700412921,0.152765982370336
CHILES,4974,0.002,5554,2.92851495006882e-05,0.15279526751983669
CHILL,2487,0.001,17831,1.46425747503441e-05,0.15280991009458703
CHILSON,2487,0.001,10375,1.46425747503441e-05,0.15282455266933737
CHIN,17409,0.006999999999999999,1746,0.0001024980232524087,0.15292705069258977
CHING,4974,0.002,5882,2.92851495006882e-05,0.15295633584209045
CHIODO,2487,0.001,15235,1.46425747503441e-05,0.1529709784168408
CHIPMAN,4974,0.002,6271,2.92851495006882e-05,0.15300026356634147
CHIPPS,2487,0.001,13092,1.46425747503441e-05,0.1530149061410918
CHITTENDEN,2487,0.001,13326,1.46425747503441e-05,0.15302954871584215
CHITTUM,2487,0.001,18293,1.46425747503441e-05,0.1530441912905925
CHITTY,2487,0.001,14952,1.46425747503441e-05,0.15305883386534283
CHIVERS,2487,0.001,11729,1.46425747503441e-05,0.15307347644009317
CHMIELEWSKI,2487,0.001,15234,1.46425747503441e-05,0.1530881190148435
CHMURA,2487,0.001,18767,1.46425747503441e-05,0.15310276158959385
CHO,17409,0.006999999999999999,1903,0.0001024980232524087,0.15320525961284626
CHOE,4974,0.002,5965,2.92851495006882e-05,0.15323454476234694
CHOI,19896,0.008,1527,0.0001171405980027528,0.15335168536034968
CHOICE,2487,0.001,11400,1.46425747503441e-05,0.15336632793510002
CHON,2487,0.001,11728,1.46425747503441e-05,0.15338097050985036
CHOQUETTE,2487,0.001,11259,1.46425747503441e-05,0.1533956130846007
CHOU,4974,0.002,6406,2.92851495006882e-05,0.15342489823410138
CHOUDHURY,2487,0.001,16225,1.46425747503441e-05,0.15343954080885172
CHOUINARD,2487,0.001,7993,1.46425747503441e-05,0.15345418338360206
CHOWDHURY,2487,0.001,15891,1.46425747503441e-05,0.1534688259583524
CHOY,2487,0.001,10250,1.46425747503441e-05,0.15348346853310274
CHRETIEN,2487,0.001,12082,1.46425747503441e-05,0.15349811110785308
CHRISMAN,4974,0.002,5131,2.92851495006882e-05,0.15352739625735376
CHRISTEN,2487,0.001,11098,1.46425747503441e-05,0.1535420388321041
CHRISTENSEN,64662,0.026000000000000002,435,0.0003807069435089466,0.15392274577561305
CHRISTIAN,52227,0.021,564,0.0003074940697572261,0.15423023984537026
CHRISTIANO,2487,0.001,14376,1.46425747503441e-05,0.1542448824201206
CHRISTIANSEN,17409,0.006999999999999999,1860,0.0001024980232524087,0.154347380443373
CHRISTIE,17409,0.006999999999999999,1707,0.0001024980232524087,0.15444987846662542
CHRISTNER,2487,0.001,9148,1.46425747503441e-05,0.15446452104137576
CHRISTOFFERSE,2487,0.001,17002,1.46425747503441e-05,0.1544791636161261
CHRISTOFFERSO,2487,0.001,10374,1.46425747503441e-05,0.15449380619087644
CHRISTOPHER,24870,0.01,1182,0.000146425747503441,0.1546402319383799
CHRISTOPHERSO,4974,0.002,5627,2.92851495006882e-05,0.15466951708788057
CHRONISTER,2487,0.001,8664,1.46425747503441e-05,0.1546841596626309
CHU,14922,0.006,1962,8.785544850206461e-05,0.15477201511113298
CHUBB,2487,0.001,18292,1.46425747503441e-05,0.15478665768588332
CHUMBLEY,2487,0.001,16224,1.46425747503441e-05,0.15480130026063366
CHUMLEY,2487,0.001,7916,1.46425747503441e-05,0.154815942835384
CHUNG,22383,0.009000000000000001,1385,0.0001317831727530969,0.15494772600813708
CHUNN,2487,0.001,10249,1.46425747503441e-05,0.15496236858288742
CHUPP,2487,0.001,13833,1.46425747503441e-05,0.15497701115763776
CHURCH,39792,0.016,763,0.0002342811960055056,0.15521129235364325
CHURCHWELL,2487,0.001,7848,1.46425747503441e-05,0.1552259349283936
CHUTE,2487,0.001,12662,1.46425747503441e-05,0.15524057750314393
